city,county,model_year,make,model,electric_vehicle_type,n_cars
Seattle,King,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),231
Bellevue,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),228
Seattle,King,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),223
Bellevue,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),218
Seattle,King,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),217
Vancouver,Clark,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),214
Seattle,King,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),214
Bellevue,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),212
Vancouver,Clark,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),211
Renton,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),203
Redmond,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),199
Redmond,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),199
Vancouver,Clark,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),198
Tukwila,King,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),197
Seattle,King,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),195
Tacoma,Pierce,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),194
Seattle,King,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),184
Sammamish,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),183
Olympia,Thurston,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),177
Vancouver,Clark,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),177
Bothell,Snohomish,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),176
Issaquah,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),176
Seattle,King,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),176
Seattle,King,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),175
Seattle,King,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),175
Seattle,King,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),173
Seattle,King,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),171
Seattle,King,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),168
Snohomish,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),167
Renton,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),167
Sammamish,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),166
Seattle,King,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),162
Bothell,Snohomish,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),158
Seattle,King,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),154
Seattle,King,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),153
Vancouver,Clark,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),152
Redmond,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),152
Seattle,King,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),151
Kirkland,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),151
Sammamish,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),151
Renton,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),150
Seattle,King,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),150
Kirkland,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),149
Redmond,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),149
Lynnwood,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),148
Tukwila,King,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),146
Auburn,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),146
Vancouver,Clark,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),145
Kirkland,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),141
Woodinville,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),141
Olympia,Thurston,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),140
Seattle,King,2023,BMW,I4,Battery Electric Vehicle (BEV),138
Bothell,Snohomish,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),138
Federal Way,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),138
Bellevue,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),138
Sammamish,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),135
Issaquah,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),135
Spokane,Spokane,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),133
Mercer Island,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),133
Issaquah,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),132
Seattle,King,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),132
Seatac,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),131
Maple Valley,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),131
Seattle,King,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),131
Kent,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),131
Seattle,King,2022,KIA,EV6,Battery Electric Vehicle (BEV),129
Seattle,King,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),129
Kirkland,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),128
Kirkland,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),128
Renton,King,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),126
Bothell,Snohomish,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),126
Gig Harbor,Pierce,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),125
Renton,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),125
Seattle,King,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),125
Seattle,King,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),124
Bothell,Snohomish,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),123
Tukwila,King,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),119
Mercer Island,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),119
Seattle,King,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),118
Vancouver,Clark,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),118
Lake Stevens,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),117
Vancouver,Clark,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),116
Seattle,King,2023,VOLVO,XC40,Battery Electric Vehicle (BEV),115
Olympia,Thurston,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),114
Tacoma,Pierce,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),114
Vancouver,Clark,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),114
Woodinville,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),114
Seattle,King,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),113
Seattle,King,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),113
Lynnwood,Snohomish,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),113
Bothell,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),111
Mercer Island,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),110
Lynnwood,Snohomish,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),110
Seattle,King,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),110
Shoreline,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),109
Renton,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),109
Kent,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),108
Seattle,King,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),107
Renton,King,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),107
Seattle,King,2022,KIA,NIRO,Battery Electric Vehicle (BEV),106
Tacoma,Pierce,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),106
Lynnwood,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),105
Seattle,King,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),105
Spokane,Spokane,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),104
Mercer Island,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),104
Newcastle,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),103
Tacoma,Pierce,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),103
Renton,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),103
Tacoma,Pierce,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),103
Issaquah,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),102
Bellingham,Whatcom,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),102
Camas,Clark,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),102
Seattle,King,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),101
Seattle,King,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),101
Seatac,King,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),101
Renton,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),101
Seattle,King,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),101
Seattle,King,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),100
Edmonds,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),100
Seattle,King,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),100
Seattle,King,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),99
Bellingham,Whatcom,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),99
Kent,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),99
Kirkland,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),98
Woodinville,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),98
Seattle,King,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),98
Everett,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Kent,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),97
Marysville,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Olympia,Thurston,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Snohomish,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Puyallup,Pierce,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Olympia,Thurston,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Redmond,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),97
Sammamish,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),95
Seattle,King,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),95
Seattle,King,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),95
Tacoma,Pierce,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),94
Bonney Lake,Pierce,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),94
Seattle,King,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),93
Woodinville,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),93
Tukwila,King,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),93
Everett,Snohomish,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),92
Mukilteo,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),91
Seattle,King,2023,KIA,EV6,Battery Electric Vehicle (BEV),90
Seattle,King,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),90
Spokane,Spokane,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),90
Seattle,King,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),89
Sammamish,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),89
Seattle,King,2020,KIA,NIRO,Battery Electric Vehicle (BEV),89
Olympia,Thurston,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),89
Bellevue,King,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),89
Seattle,King,2019,KIA,NIRO,Battery Electric Vehicle (BEV),88
Bellingham,Whatcom,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),88
Seattle,King,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),88
Mill Creek,Snohomish,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),88
Seattle,King,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),88
Seattle,King,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),88
Seattle,King,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),88
Bellevue,King,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),87
Bellevue,King,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),87
Seattle,King,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),87
Seattle,King,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),87
Seattle,King,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),87
Seattle,King,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),86
Maple Valley,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),86
Bellingham,Whatcom,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),85
Bothell,Snohomish,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),85
Olympia,Thurston,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),84
Seattle,King,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),84
Seattle,King,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),84
Lynnwood,Snohomish,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),83
Lynnwood,Snohomish,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),82
Issaquah,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),82
Seattle,King,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),82
Bellevue,King,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),82
Seattle,King,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),81
Seattle,King,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),81
Bellingham,Whatcom,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),80
Seattle,King,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),80
Tukwila,King,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV),79
Kenmore,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),79
Snohomish,Snohomish,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),79
Spokane,Spokane,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),78
Seatac,King,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),77
Camas,Clark,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),77
Issaquah,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),76
Seattle,King,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),76
Shoreline,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),76
Olympia,Thurston,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),76
Seattle,King,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),75
Bellevue,King,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),75
Seattle,King,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),75
Bellevue,King,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),75
Edmonds,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),75
Seattle,King,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),75
Seattle,King,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),74
Olympia,Thurston,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),74
Seattle,King,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),73
Spokane,Spokane,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),73
Seattle,King,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),73
Seattle,King,2022,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),72
Olympia,Thurston,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),72
Everett,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),72
Seattle,King,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),71
Seattle,King,2023,KIA,NIRO,Battery Electric Vehicle (BEV),71
Auburn,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),71
Lake Stevens,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),71
Tacoma,Pierce,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),70
Gig Harbor,Pierce,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),70
Vancouver,Clark,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),70
Seattle,King,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),70
Seattle,King,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),70
Bainbridge Island,Kitsap,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),70
Olympia,Thurston,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),69
Snohomish,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),69
Kent,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),69
Edmonds,Snohomish,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),69
Mercer Island,King,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),68
Tacoma,Pierce,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),68
Bothell,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),68
Seattle,King,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),68
Vancouver,Clark,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),68
Kent,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),68
Bainbridge Island,Kitsap,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),67
Seattle,King,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),67
Bainbridge Island,Kitsap,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),67
Bellevue,King,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),67
Kent,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),67
Gig Harbor,Pierce,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),67
Bellevue,King,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),66
Gig Harbor,Pierce,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),66
Issaquah,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),66
Seattle,King,2016,KIA,SOUL,Battery Electric Vehicle (BEV),66
Seattle,King,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),66
Seattle,King,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),66
Tacoma,Pierce,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),66
Seattle,King,2015,FIAT,500,Battery Electric Vehicle (BEV),66
Newcastle,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),66
Camas,Clark,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),66
Lynnwood,Snohomish,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),65
Lynnwood,Snohomish,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),65
Bellingham,Whatcom,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),65
Seattle,King,2023,POLESTAR,PS2,Battery Electric Vehicle (BEV),65
Federal Way,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),65
Renton,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),65
Auburn,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),65
Seattle,King,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),64
Bellevue,King,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),64
Mercer Island,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),64
Auburn,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),64
Shoreline,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),64
Edmonds,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),64
Snohomish,Snohomish,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),64
Seattle,King,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),63
Seattle,King,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),63
Olympia,Thurston,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),62
Snoqualmie,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),62
Bothell,Snohomish,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),61
Federal Way,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),61
Olympia,Thurston,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),61
Olympia,Thurston,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),61
Shoreline,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),60
Camas,Clark,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),60
Seattle,King,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),60
Seattle,King,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),60
Vancouver,Clark,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),60
Seattle,King,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),60
Kent,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),60
Everett,Snohomish,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),60
Snoqualmie,King,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),59
Redmond,King,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),59
Seattle,King,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),59
Burien,King,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),59
Vancouver,Clark,2022,KIA,EV6,Battery Electric Vehicle (BEV),59
Maple Valley,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),59
Tukwila,King,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),59
Bellevue,King,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),58
