Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents' advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Number of Siblings,Feels Lonely
5,3,3,3,1,2,1,2,3,less than an hour a day,3,23,0,female,village,0,FALSE
4,4,5,3,2,2,2,2,3,few hours a day,3,21,0,male,city,0,FALSE
5,3,5,3,3,5,4,3,3,most of the day,2,18,0,female,city,0,FALSE
4,1,4,4,1,1,1,1,2,most of the day,2,18,0,male,city,0,FALSE
5,2,4,2,2,4,1,2,4,few hours a day,4,18,0,male,village,0,FALSE
5,2,5,5,1,3,5,2,4,few hours a day,2,18,0,female,city,0,FALSE
5,4,5,1,3,3,5,5,2,few hours a day,3,16,0,female,city,0,TRUE
5,1,5,5,1,1,3,5,4,most of the day,3,23,0,female,city,0,TRUE
5,4,5,2,2,4,2,3,3,less than an hour a day,4,22,0,female,village,0,FALSE
2,3,3,5,1,1,5,4,4,few hours a day,3,21,0,female,city,0,TRUE
4,2,5,2,4,4,1,4,4,few hours a day,3,19,0,male,city,0,TRUE
5,3,5,2,1,5,3,3,4,few hours a day,1,20,0,female,city,0,FALSE
4,1,5,2,1,5,5,2,4,few hours a day,5,17,0,female,city,0,FALSE
5,2,2,2,4,1,4,4,4,few hours a day,3,16,0,female,city,0,TRUE
4,1,4,5,1,2,2,3,2,few hours a day,4,21,0,male,city,0,FALSE
5,1,5,3,1,1,1,5,3,most of the day,3,20,0,female,city,0,TRUE
5,3,5,2,2,2,1,3,4,few hours a day,1,20,0,male,city,0,FALSE
5,5,3,2,1,4,1,5,3,few hours a day,4,20,0,male,city,0,TRUE
3,1,5,3,1,5,4,3,2,few hours a day,3,20,0,male,city,0,FALSE
5,2,4,3,3,1,4,3,3,few hours a day,3,17,0,female,city,0,FALSE
5,3,4,4,2,5,5,3,3,few hours a day,3,23,0,female,city,0,FALSE
5,2,4,5,1,4,4,2,2,few hours a day,4,22,0,female,city,0,FALSE
2,1,1,1,3,2,1,3,4,few hours a day,1,22,0,male,city,0,FALSE
5,3,5,4,1,5,5,2,3,few hours a day,3,22,0,female,city,0,FALSE
5,2,5,5,2,1,5,4,3,few hours a day,4,19,0,male,city,0,TRUE
5,3,5,5,5,4,2,1,3,few hours a day,4,23,0,male,city,0,FALSE
5,3,5,4,1,5,3,4,3,most of the day,3,21,0,female,city,0,TRUE
5,1,5,1,5,1,1,3,3,few hours a day,5,18,0,male,city,0,FALSE
5,3,5,4,4,4,1,1,4,few hours a day,3,19,0,female,city,0,FALSE
5,2,4,5,3,1,2,2,3,few hours a day,3,19,0,female,village,0,FALSE
5,2,5,3,1,2,2,5,5,most of the day,1,19,0,female,city,0,TRUE
5,2,4,5,1,4,1,2,2,most of the day,1,19,0,male,city,0,FALSE
5,3,5,4,1,5,5,3,4,few hours a day,2,16,0,female,city,0,FALSE
5,4,5,5,3,3,1,3,4,few hours a day,5,20,0,male,village,0,FALSE
5,3,5,5,1,3,1,2,3,few hours a day,1,19,0,male,village,0,FALSE
5,2,5,3,3,5,5,3,3,less than an hour a day,3,16,0,female,city,0,FALSE
5,2,5,3,2,1,2,3,4,few hours a day,3,21,0,female,city,0,FALSE
5,4,5,1,3,3,1,4,3,few hours a day,2,19,0,male,village,0,TRUE
5,2,5,3,1,5,3,3,3,less than an hour a day,4,19,0,female,city,0,FALSE
5,2,5,2,1,3,1,3,3,less than an hour a day,2,17,0,female,city,0,FALSE
5,3,5,3,3,5,4,2,4,less than an hour a day,5,25,0,female,village,0,FALSE
5,1,5,5,4,5,2,3,3,few hours a day,2,20,0,female,city,0,FALSE
5,2,5,5,3,2,5,3,4,few hours a day,3,18,0,female,city,0,FALSE
5,1,5,4,2,5,2,2,3,less than an hour a day,4,24,0,male,village,0,FALSE
5,2,5,3,1,3,5,4,3,less than an hour a day,2,17,0,female,city,0,TRUE
5,1,5,4,1,4,3,3,3,few hours a day,3,17,0,male,city,0,FALSE
5,3,5,3,2,5,4,4,4,few hours a day,3,19,0,female,village,0,TRUE
5,1,4,4,4,5,5,3,4,most of the day,5,30,0,female,city,0,FALSE
5,2,5,4,3,5,1,2,2,few hours a day,4,20,0,female,village,0,FALSE
5,3,4,1,3,5,5,3,4,few hours a day,2,21,0,male,city,0,FALSE
5,3,4,4,2,1,1,2,4,few hours a day,3,19,0,male,city,0,FALSE
4,1,5,5,1,4,1,3,2,few hours a day,2,19,0,male,city,0,FALSE
5,1,5,2,2,5,1,3,4,few hours a day,5,19,0,female,village,0,FALSE
5,3,5,5,2,5,5,1,3,less than an hour a day,2,17,0,female,village,0,FALSE
5,1,5,5,1,3,2,3,3,few hours a day,3,16,0,female,city,0,FALSE
1,1,5,5,3,5,1,2,4,less than an hour a day,3,19,0,female,city,0,FALSE
5,1,5,2,2,5,5,2,3,few hours a day,2,18,0,female,city,0,FALSE
3,1,4,4,2,1,2,2,4,most of the day,2,20,0,female,city,0,FALSE
5,4,5,3,1,4,5,1,3,few hours a day,4,19,0,female,city,0,FALSE
5,2,5,3,3,4,5,4,3,less than an hour a day,3,17,0,female,city,0,TRUE
NaN,1,5,4,4,1,1,5,4,few hours a day,5,17,0,female,city,0,TRUE
5,2,5,1,1,5,5,2,3,most of the day,3,20,0,female,city,0,FALSE
5,1,5,5,5,5,4,2,3,few hours a day,4,27,0,male,city,0,FALSE
5,1,5,3,3,1,1,3,3,few hours a day,4,18,0,male,city,0,FALSE
3,3,5,4,4,4,2,3,3,less than an hour a day,4,19,0,female,city,0,FALSE
5,2,5,1,1,1,1,3,4,few hours a day,4,20,0,female,city,0,FALSE
5,2,5,3,1,5,4,5,3,few hours a day,5,20,0,female,village,0,TRUE
5,3,5,3,1,5,1,3,4,few hours a day,4,21,0,female,city,0,FALSE
4,3,4,3,3,4,1,3,3,less than an hour a day,4,18,0,female,city,0,FALSE
3,3,3,3,1,3,3,3,3,few hours a day,3,19,0,male,city,0,FALSE
5,2,5,5,4,5,2,4,4,few hours a day,4,18,0,male,village,0,TRUE
3,1,5,3,1,2,NaN,3,4,less than an hour a day,5,21,0,female,city,0,FALSE
5,3,2,2,3,2,2,3,3,less than an hour a day,4,17,0,female,village,0,FALSE
5,2,4,2,3,1,1,2,3,few hours a day,3,16,0,female,village,0,FALSE
5,4,5,5,1,1,2,2,4,few hours a day,2,19,0,female,city,0,FALSE
5,2,5,3,3,5,5,2,4,less than an hour a day,3,19,0,female,city,0,FALSE
5,1,5,1,3,4,2,5,3,less than an hour a day,3,18,0,female,city,0,TRUE
5,2,5,3,5,3,3,1,1,few hours a day,3,21,0,female,city,0,FALSE
5,3,5,3,1,5,5,3,2,few hours a day,4,19,0,female,city,0,FALSE
5,2,5,3,1,5,4,2,5,few hours a day,5,20,0,female,city,0,FALSE
5,1,5,3,1,5,1,1,4,few hours a day,4,19,0,female,city,0,FALSE
3,1,5,2,4,4,1,2,2,few hours a day,3,24,0,female,village,0,FALSE
4,3,5,2,1,2,2,3,4,less than an hour a day,4,19,0,female,city,0,FALSE
5,2,5,5,3,4,4,2,3,few hours a day,3,19,0,male,city,0,FALSE
4,1,5,3,3,5,5,2,4,few hours a day,4,21,0,female,city,0,FALSE
5,1,5,5,1,5,3,3,4,few hours a day,1,19,0,female,city,0,FALSE
5,1,5,2,1,5,4,3,4,few hours a day,3,20,0,female,village,0,FALSE
5,5,5,5,1,5,5,5,5,few hours a day,1,21,0,female,city,0,TRUE
5,5,5,5,5,2,2,4,3,most of the day,1,19,0,male,city,0,TRUE
5,3,4,2,3,4,2,2,1,few hours a day,4,17,0,male,city,0,FALSE
5,1,5,5,4,1,1,2,4,few hours a day,4,18,0,female,city,0,FALSE
5,3,5,3,3,5,3,3,3,few hours a day,3,21,0,male,city,0,FALSE
5,1,5,3,1,3,1,3,3,less than an hour a day,3,18,0,male,village,0,FALSE
5,4,4,2,4,4,3,2,4,few hours a day,3,20,0,female,city,0,FALSE
4,3,4,2,5,3,2,3,3,few hours a day,3,19,0,male,village,0,FALSE
5,2,5,2,1,2,5,2,4,few hours a day,3,16,0,female,city,0,FALSE
4,4,5,5,1,3,1,1,1,most of the day,4,23,0,male,city,0,FALSE
5,3,5,4,1,5,5,5,3,most of the day,5,15,0,male,village,0,TRUE
5,3,5,2,5,5,5,3,2,few hours a day,5,19,0,female,city,0,FALSE
5,4,5,2,2,4,4,2,3,few hours a day,2,19,0,NaN,city,0,FALSE
5,1,5,3,2,1,1,4,3,few hours a day,4,18,0,male,city,0,TRUE
5,5,5,1,1,1,3,1,3,few hours a day,1,19,0,male,city,0,FALSE
5,5,5,4,1,5,1,5,3,most of the day,4,24,0,male,village,0,TRUE
4,4,5,2,3,4,5,2,4,few hours a day,3,20,0,female,city,0,FALSE
5,5,5,4,5,5,3,5,5,few hours a day,1,19,0,female,city,0,TRUE
4,3,4,2,2,2,5,4,3,few hours a day,2,21,0,female,city,0,TRUE
5,2,5,1,1,5,5,1,4,most of the day,1,18,0,female,city,0,FALSE
5,2,5,3,1,1,4,4,3,few hours a day,1,22,0,male,city,0,TRUE
5,NaN,5,5,4,1,1,5,3,few hours a day,1,19,0,male,city,0,TRUE
5,1,5,5,2,5,2,5,1,less than an hour a day,5,29,0,male,village,0,TRUE
5,1,3,4,1,2,2,2,4,few hours a day,3,20,0,male,NaN,0,FALSE
5,1,5,5,4,1,1,3,3,few hours a day,3,20,0,female,city,0,FALSE
5,1,5,3,1,2,4,3,3,few hours a day,4,22,0,male,city,0,FALSE
5,1,5,5,1,5,4,3,4,few hours a day,3,20,0,female,city,0,FALSE
1,1,5,5,3,1,1,4,4,few hours a day,3,18,0,male,city,0,TRUE
5,5,5,3,4,5,1,4,4,few hours a day,4,18,0,female,city,0,TRUE
5,3,5,3,1,4,1,4,3,few hours a day,1,20,0,female,city,0,TRUE
5,4,5,1,1,1,5,3,3,few hours a day,3,18,0,female,city,0,FALSE
5,2,5,4,1,5,3,2,1,most of the day,3,21,0,male,city,0,FALSE
5,3,4,2,5,4,1,3,3,most of the day,4,20,0,male,village,0,FALSE
5,3,5,3,2,NaN,1,1,3,few hours a day,5,21,0,male,city,0,FALSE
5,1,5,4,3,3,1,4,4,few hours a day,4,19,0,female,city,0,TRUE
5,4,5,5,2,1,4,2,5,few hours a day,4,22,0,male,city,0,FALSE
5,1,5,3,1,3,4,2,4,few hours a day,4,20,0,male,village,0,FALSE
4,1,4,2,3,5,2,4,4,most of the day,1,18,0,female,city,0,TRUE
5,2,5,1,1,2,3,4,3,few hours a day,4,21,0,female,city,0,TRUE
5,4,4,3,1,5,1,3,4,few hours a day,3,19,0,female,city,0,FALSE
5,1,5,2,1,3,3,1,4,few hours a day,2,20,2,female,city,1 - 2,FALSE
5,1,5,3,4,1,2,3,2,most of the day,5,19,1,male,city,1 - 2,FALSE
5,3,4,2,1,1,1,2,3,few hours a day,1,18,2,male,city,1 - 2,FALSE
5,3,5,4,4,5,1,1,4,few hours a day,3,22,1,female,village,1 - 2,FALSE
5,4,5,5,1,5,5,3,5,few hours a day,3,22,2,male,city,1 - 2,FALSE
5,2,5,2,1,4,5,3,3,less than an hour a day,3,21,2,female,village,1 - 2,FALSE
5,4,5,4,2,2,1,1,4,few hours a day,3,17,1,female,village,1 - 2,FALSE
5,3,5,3,2,2,4,3,4,most of the day,3,25,1,female,city,1 - 2,FALSE
5,2,5,4,2,2,4,3,3,most of the day,2,29,1,NaN,city,1 - 2,FALSE
5,1,5,5,1,4,1,1,4,few hours a day,3,21,2,male,village,1 - 2,FALSE
5,2,3,2,3,2,1,5,4,few hours a day,4,21,1,female,village,1 - 2,TRUE
5,1,5,3,1,5,1,5,4,few hours a day,1,21,2,male,city,1 - 2,TRUE
5,4,4,3,1,5,2,4,4,less than an hour a day,4,18,1,female,city,1 - 2,TRUE
5,1,4,1,3,3,1,2,4,less than an hour a day,3,18,1,male,city,1 - 2,FALSE
4,1,4,3,1,5,4,4,3,less than an hour a day,4,22,2,female,city,1 - 2,TRUE
5,4,5,2,3,5,1,3,2,few hours a day,3,23,1,male,city,1 - 2,FALSE
4,1,4,2,1,3,1,1,4,less than an hour a day,4,20,1,female,city,1 - 2,FALSE
5,4,4,2,1,2,2,3,3,less than an hour a day,3,NaN,1,female,village,1 - 2,FALSE
3,1,4,3,1,5,5,3,3,few hours a day,4,28,1,female,city,1 - 2,FALSE
5,4,4,3,3,5,2,3,4,few hours a day,3,22,2,female,city,1 - 2,FALSE
3,3,4,2,3,5,5,3,3,few hours a day,2,18,1,female,village,1 - 2,FALSE
5,2,3,3,2,4,1,3,3,few hours a day,3,23,1,female,city,1 - 2,FALSE
4,4,4,4,2,3,2,3,3,few hours a day,4,21,1,male,village,1 - 2,FALSE
5,4,5,3,2,2,4,3,4,most of the day,3,25,1,male,city,1 - 2,FALSE
4,1,5,3,1,5,1,1,3,few hours a day,1,23,1,male,city,1 - 2,FALSE
3,1,4,3,3,4,1,4,3,few hours a day,3,28,2,female,village,1 - 2,TRUE
5,2,5,3,1,3,3,2,3,few hours a day,3,20,2,female,city,1 - 2,FALSE
5,1,5,3,3,1,5,4,4,few hours a day,4,18,2,female,city,1 - 2,TRUE
5,3,5,5,3,5,1,3,3,few hours a day,4,18,1,male,city,1 - 2,FALSE
5,1,5,5,3,1,2,4,1,few hours a day,3,22,1,male,village,1 - 2,TRUE
5,1,5,2,4,1,5,4,3,most of the day,2,20,1,female,city,1 - 2,TRUE
5,3,5,4,3,2,4,3,3,few hours a day,3,18,1,male,city,1 - 2,FALSE
5,1,4,5,3,2,3,3,2,most of the day,4,28,2,female,city,1 - 2,FALSE
5,1,5,3,1,2,5,3,5,few hours a day,3,19,1,male,city,1 - 2,FALSE
5,2,5,5,3,3,1,1,3,few hours a day,3,21,1,male,city,1 - 2,FALSE
5,4,4,2,1,3,2,5,3,few hours a day,3,18,1,female,village,1 - 2,TRUE
5,3,5,2,5,1,1,4,3,most of the day,3,20,2,male,city,1 - 2,TRUE
5,3,5,3,2,3,1,4,3,less than an hour a day,3,18,1,female,city,1 - 2,TRUE
4,2,4,2,5,5,3,1,3,few hours a day,4,23,1,female,city,1 - 2,FALSE
5,1,5,4,5,5,1,2,4,few hours a day,4,21,1,male,village,1 - 2,FALSE
5,4,5,2,1,5,2,1,3,few hours a day,3,18,2,female,city,1 - 2,FALSE
5,1,4,5,1,3,1,3,3,few hours a day,3,20,1,male,city,1 - 2,FALSE
5,4,4,4,2,2,1,2,3,few hours a day,1,19,1,male,city,1 - 2,FALSE
2,3,3,3,3,3,3,3,3,less than an hour a day,3,21,1,male,city,1 - 2,FALSE
5,2,5,3,1,5,5,4,3,few hours a day,3,21,1,female,city,1 - 2,TRUE
5,1,5,5,1,1,4,5,3,most of the day,1,26,2,male,city,1 - 2,TRUE
5,2,5,4,3,3,5,3,3,less than an hour a day,3,23,1,female,city,1 - 2,FALSE
4,1,5,5,4,5,1,1,3,few hours a day,2,28,1,female,city,1 - 2,FALSE
5,3,5,4,1,5,5,1,3,few hours a day,4,20,1,female,village,1 - 2,FALSE
5,1,3,5,2,5,3,4,4,few hours a day,3,23,1,female,city,1 - 2,TRUE
5,5,5,3,1,5,5,1,3,few hours a day,1,19,1,female,city,1 - 2,FALSE
5,2,4,1,1,3,1,4,2,few hours a day,1,21,1,female,village,1 - 2,TRUE
5,1,4,5,5,2,4,5,3,most of the day,3,19,2,male,city,1 - 2,TRUE
5,2,5,2,1,1,2,3,3,few hours a day,2,20,1,female,city,1 - 2,FALSE
5,4,5,3,3,5,1,3,3,few hours a day,1,17,2,male,village,1 - 2,FALSE
5,5,5,4,3,5,5,3,3,few hours a day,3,25,1,female,city,1 - 2,FALSE
5,4,4,3,2,3,5,3,3,few hours a day,3,28,1,female,city,1 - 2,FALSE
5,1,5,4,1,5,NaN,3,4,less than an hour a day,3,30,1,female,village,1 - 2,FALSE
5,1,5,2,3,3,3,2,3,few hours a day,2,28,1,female,village,1 - 2,FALSE
5,5,5,5,3,5,3,3,4,few hours a day,4,21,1,female,city,1 - 2,FALSE
5,1,5,4,1,5,1,5,2,most of the day,1,17,1,male,village,1 - 2,TRUE
5,1,5,5,5,5,5,3,NaN,few hours a day,3,18,1,female,city,1 - 2,FALSE
5,1,3,5,2,4,2,2,3,few hours a day,4,23,1,male,city,1 - 2,FALSE
5,5,3,4,3,2,3,1,4,most of the day,3,23,2,male,village,1 - 2,FALSE
5,3,5,4,1,5,5,4,4,most of the day,2,18,1,female,city,1 - 2,TRUE
5,4,4,3,2,5,3,4,4,most of the day,2,28,1,female,city,1 - 2,TRUE
5,5,5,3,1,5,1,3,2,few hours a day,5,22,1,female,village,1 - 2,FALSE
5,1,5,5,2,4,1,3,4,most of the day,3,22,1,male,city,1 - 2,FALSE
5,5,4,1,3,5,5,3,4,few hours a day,4,22,1,female,city,1 - 2,FALSE
3,4,5,4,3,4,1,1,1,few hours a day,3,19,1,male,city,1 - 2,FALSE
5,4,4,2,1,3,3,3,4,less than an hour a day,3,21,1,male,city,1 - 2,FALSE
5,1,4,3,1,1,1,3,5,most of the day,3,19,1,female,city,1 - 2,FALSE
5,4,5,2,1,5,2,2,4,few hours a day,3,18,1,female,city,1 - 2,FALSE
5,1,5,3,1,2,5,2,2,few hours a day,1,21,1,female,city,1 - 2,FALSE
5,2,5,2,3,5,5,1,3,few hours a day,4,19,1,female,city,1 - 2,FALSE
5,2,5,3,3,1,3,3,3,less than an hour a day,5,20,1,female,city,1 - 2,FALSE
4,1,5,3,5,2,2,1,4,few hours a day,4,20,1,female,city,1 - 2,FALSE
5,2,5,3,4,5,5,2,2,few hours a day,3,19,1,female,city,1 - 2,FALSE
5,5,4,3,3,1,5,3,3,few hours a day,3,19,1,female,city,1 - 2,FALSE
5,2,5,4,1,2,3,4,2,most of the day,1,20,2,male,city,1 - 2,TRUE
5,3,4,2,2,1,5,3,2,few hours a day,3,20,1,male,city,1 - 2,FALSE
5,5,5,4,1,4,3,NaN,3,few hours a day,2,21,2,male,village,1 - 2,FALSE
4,4,3,5,5,3,1,3,4,few hours a day,4,18,2,male,city,1 - 2,FALSE
5,1,4,5,2,1,1,5,1,few hours a day,2,23,1,male,city,1 - 2,TRUE
5,3,5,2,2,2,1,2,4,less than an hour a day,3,19,1,male,city,1 - 2,FALSE
4,3,5,3,2,5,4,4,3,few hours a day,5,19,1,male,city,1 - 2,TRUE
5,3,5,4,4,2,2,2,4,few hours a day,2,19,1,male,city,1 - 2,FALSE
5,1,4,2,1,5,2,2,3,less than an hour a day,4,21,1,female,city,1 - 2,FALSE
5,1,5,3,2,5,3,3,3,few hours a day,3,19,1,female,village,1 - 2,FALSE
4,3,5,4,2,3,3,2,3,few hours a day,5,22,1,male,village,1 - 2,FALSE
4,1,3,3,1,3,1,1,3,few hours a day,4,20,1,female,city,1 - 2,FALSE
5,1,5,4,5,4,1,3,4,few hours a day,2,28,1,male,city,1 - 2,FALSE
5,4,NaN,3,2,3,3,3,4,few hours a day,3,21,1,female,city,1 - 2,FALSE
5,1,5,5,1,5,5,5,3,few hours a day,3,21,1,female,city,1 - 2,TRUE
5,1,5,3,2,5,5,1,4,less than an hour a day,3,21,1,male,village,1 - 2,FALSE
4,1,5,2,2,4,1,4,4,few hours a day,4,22,1,male,village,1 - 2,TRUE
5,2,5,5,1,4,5,3,4,few hours a day,1,17,1,female,village,1 - 2,FALSE
3,1,4,4,1,5,2,2,5,less than an hour a day,3,19,1,female,city,1 - 2,FALSE
3,1,5,5,5,4,2,1,2,few hours a day,3,25,1,male,city,1 - 2,FALSE
5,1,5,3,1,3,5,2,3,less than an hour a day,2,21,1,female,city,1 - 2,FALSE
5,3,5,3,4,5,4,2,3,few hours a day,2,18,1,female,village,1 - 2,FALSE
5,2,4,2,2,4,2,4,2,less than an hour a day,4,21,1,female,city,1 - 2,TRUE
5,4,4,4,3,4,1,3,4,few hours a day,2,17,1,male,village,1 - 2,FALSE
5,1,5,1,1,3,1,1,3,less than an hour a day,2,21,2,male,city,1 - 2,FALSE
5,4,5,5,1,2,1,2,3,few hours a day,5,22,1,male,city,1 - 2,FALSE
5,4,4,4,2,3,2,3,4,less than an hour a day,5,20,1,male,city,1 - 2,FALSE
5,2,3,1,1,5,1,4,4,less than an hour a day,4,16,2,female,village,1 - 2,TRUE
4,3,4,4,3,4,4,3,3,few hours a day,4,24,2,male,village,1 - 2,FALSE
5,1,5,1,1,2,1,5,3,most of the day,3,20,1,female,village,1 - 2,TRUE
5,4,5,1,3,1,4,4,4,few hours a day,3,19,1,female,village,1 - 2,TRUE
NaN,2,3,3,2,4,5,2,4,few hours a day,2,19,2,female,city,1 - 2,FALSE
5,1,5,1,1,3,4,3,3,most of the day,3,24,1,female,city,1 - 2,FALSE
5,1,2,2,3,2,1,5,3,few hours a day,4,20,1,male,village,1 - 2,TRUE
5,1,5,5,2,1,2,5,4,less than an hour a day,5,20,1,female,city,1 - 2,TRUE
5,2,3,4,2,4,2,2,3,few hours a day,2,19,1,female,city,1 - 2,FALSE
5,1,5,5,1,5,5,3,4,few hours a day,4,20,2,female,city,1 - 2,FALSE
5,2,4,3,4,5,4,2,2,few hours a day,4,21,1,female,city,1 - 2,FALSE
5,2,4,4,3,1,2,3,3,no time at all,3,25,1,male,city,1 - 2,FALSE
5,1,5,3,1,2,2,2,4,few hours a day,4,28,1,female,village,1 - 2,FALSE
5,4,5,4,1,5,3,3,3,few hours a day,3,20,1,female,city,1 - 2,FALSE
5,1,4,3,1,5,2,5,3,few hours a day,2,20,2,female,city,1 - 2,TRUE
5,3,5,3,4,5,2,4,2,few hours a day,3,20,1,male,city,1 - 2,TRUE
5,1,4,2,4,2,2,4,2,few hours a day,3,27,1,male,city,1 - 2,TRUE
5,2,5,3,1,5,5,4,3,few hours a day,2,17,1,female,city,1 - 2,TRUE
5,2,5,5,1,4,4,1,4,few hours a day,1,20,1,male,village,1 - 2,FALSE
5,2,4,3,2,2,4,2,4,few hours a day,3,19,1,female,village,1 - 2,FALSE
4,1,4,4,1,2,3,3,4,less than an hour a day,3,25,1,female,city,1 - 2,FALSE
5,3,5,5,1,4,3,1,4,few hours a day,1,24,2,male,village,1 - 2,FALSE
5,5,5,3,1,4,1,3,3,less than an hour a day,3,20,1,female,village,1 - 2,FALSE
3,4,4,1,4,4,3,4,5,few hours a day,5,19,2,male,village,1 - 2,TRUE
5,2,5,4,3,5,2,3,3,few hours a day,3,20,1,female,city,1 - 2,FALSE
5,3,5,1,1,1,3,4,4,most of the day,3,23,1,female,city,1 - 2,TRUE
5,2,NaN,4,5,5,1,2,3,less than an hour a day,2,29,1,male,village,1 - 2,FALSE
5,2,4,1,3,2,1,3,2,few hours a day,2,19,1,male,city,1 - 2,FALSE
5,1,4,4,1,5,3,3,3,few hours a day,2,21,1,female,city,1 - 2,FALSE
5,1,5,2,3,1,3,5,3,few hours a day,3,18,1,male,city,1 - 2,TRUE
5,2,5,4,3,4,3,3,4,less than an hour a day,3,19,1,female,village,1 - 2,FALSE
5,3,5,1,2,2,5,5,3,few hours a day,3,16,2,female,city,1 - 2,TRUE
5,3,5,2,2,3,2,4,3,most of the day,4,17,2,male,city,1 - 2,TRUE
5,2,5,3,2,3,5,2,4,less than an hour a day,4,20,2,male,village,1 - 2,FALSE
5,2,5,4,2,5,2,2,4,few hours a day,4,18,2,female,village,1 - 2,FALSE
5,5,4,5,3,5,1,3,4,few hours a day,4,23,1,male,village,1 - 2,FALSE
4,2,5,2,1,1,2,1,3,few hours a day,3,22,1,male,city,1 - 2,FALSE
5,1,5,1,3,4,1,3,4,few hours a day,3,20,1,female,village,1 - 2,FALSE
5,1,5,3,2,2,5,2,4,less than an hour a day,4,19,2,female,village,1 - 2,FALSE
5,1,5,1,1,3,5,1,4,few hours a day,3,20,1,female,village,1 - 2,FALSE
5,2,4,2,4,3,2,2,3,few hours a day,2,23,2,male,city,1 - 2,FALSE
5,1,5,4,1,3,2,2,3,less than an hour a day,3,28,2,female,village,1 - 2,FALSE
5,1,3,4,3,5,1,3,3,few hours a day,2,20,2,male,city,1 - 2,FALSE
5,1,4,2,2,3,2,3,4,few hours a day,3,21,1,male,city,1 - 2,FALSE
4,1,5,4,1,5,5,2,4,less than an hour a day,4,22,1,female,city,1 - 2,FALSE
5,1,3,5,5,3,1,2,4,few hours a day,4,19,1,male,city,1 - 2,FALSE
3,1,5,3,2,1,1,2,4,few hours a day,3,24,1,female,city,1 - 2,FALSE
5,3,5,5,1,2,1,1,3,few hours a day,4,23,1,male,city,1 - 2,FALSE
5,5,5,5,1,1,3,3,4,less than an hour a day,2,21,2,female,city,1 - 2,FALSE
5,1,4,2,2,2,3,3,1,most of the day,1,22,1,female,city,1 - 2,FALSE
