country,social_support,freedom,corruption,generosity,gdp_per_cap,life_exp,happiness_score,grams_sugar_per_day
Pakistan,130,114,55,58,5000,67.2,89,76
Russia,40,107,127,101,25700,72.5,88,134
Philippines,75,15,49,115,8260,70,87,64.6
Serbia,57,124,118,84,16700,76,86,77.1
Moldova,65,128,148,86,6720,73.1,85,64.6
Montenegro,60,139,77,76,17800,76.7,83,131
Tajikistan,113,86,35,72,3150,70.8,82,51.9
Croatia,79,118,139,81,24500,78.8,81,118
Dominican Republic,55,43,52,93,16400,73.5,79,95.3
Turkey,61,140,50,98,25000,79.5,77,87.3
Malaysia,97,36,137,27,29100,75,76,121
Belarus,33,131,37,103,18000,74.5,75,107
Greece,102,150,123,152,25700,81.3,74,80.3
Mongolia,10,112,119,38,12800,69.3,73,40.3
Nigeria,111,75,114,59,5300,65.2,71,29.4
Turkmenistan,8,83,,33,17600,70.3,69,24.6
Algeria,101,149,46,128,14000,78.1,68,78.2
Morocco,139,76,84,154,7770,74.4,67,109
Azerbaijan,104,101,22,146,16200,71.1,66,50.5
Lebanon,89,136,133,63,11700,78.1,65,123
Indonesia,94,48,129,2,12100,71.9,64,46.5
China,108,31,,133,17100,77.5,63,18.8
Vietnam,64,23,86,97,6970,74.7,62,27.4
Cameroon,129,90,120,91,3400,63.8,60,27.2
Bulgaria,18,115,147,112,20200,75.1,59,78.7
Ghana,132,91,117,52,4430,66.1,58,40.5
Nepal,87,67,65,46,2880,71.5,56,13
Jordan,88,88,,118,8350,79.6,55,128
Benin,153,103,75,116,2230,65.3,54,21.4
Gabon,95,119,103,143,16200,69,52,42.6
South Africa,63,85,102,89,12000,66.9,50,101
Albania,133,87,134,60,12700,78.5,49,131
Venezuela,49,145,110,139,9720,75.1,48,106
Cambodia,109,2,94,61,4080,70.4,47,51.5
Senegal,106,121,88,130,3460,68.6,45,50
Namibia,70,82,98,142,9700,67.2,43,55.4
Niger,140,111,51,135,954,63.2,42,14.5
Burkina Faso,116,127,47,125,1810,62.5,41,20.3
Armenia,117,123,93,129,9730,75.9,40,97.4
Iran,134,117,44,28,16100,77.8,39,79.8
Guinea,136,109,70,94,2420,61.6,38,27.2
Georgia,147,104,28,153,10700,73.2,37,93.1
Gambia,125,89,26,64,1570,66.4,36,72.2
Kenya,123,72,105,26,3160,66.7,35,43.7
Mauritania,99,151,67,148,3890,71,34,99.2
Mozambique,122,46,40,121,1170,59.9,33,30.7
Tunisia,121,143,101,144,11100,78.7,32,95.5
Bangladesh,126,27,36,107,4140,73.7,31,22.1
Iraq,124,130,66,73,15700,77.1,30,52.8
Mali,112,110,107,138,2100,62.9,28,28.1
Sierra Leone,135,116,112,79,1460,61.3,27,16.5
Sri Lanka,80,55,111,35,12100,77.8,26,73.4
Myanmar,96,29,24,1,6270,69.1,25,46.2
Chad,141,142,80,106,1740,60.6,24,29.1
Ukraine,56,141,143,66,8480,70.8,23,126
Ethiopia,119,106,53,99,1900,69.1,22,18.1
Swaziland,103,113,41,145,9560,61.8,21,95.3
Uganda,114,99,95,74,1870,66.6,20,32.4
Egypt,118,129,89,132,11400,71,19,78
Zambia,115,73,69,53,3700,64,18,28.1
Togo,149,120,72,131,1610,65,17,33.3
India,142,41,73,65,7230,69.5,16,64.2
Liberia,127,94,126,110,1140,65.2,15,15.5
Madagascar,128,146,116,136,1490,64.2,13,20.3
Lesotho,98,97,59,151,2920,56.1,12,45.5
Zimbabwe,110,96,63,141,2390,62,10,80.6
Haiti,146,152,48,20,1640,65.7,9,45.8
Botswana,105,60,54,150,16800,69.8,8,85
Malawi,150,65,64,109,1180,64.2,6,22.6
Yemen,100,147,83,155,2340,68.1,5,77.9
Rwanda,144,21,2,90,2110,69.1,4,14.1
Tanzania,131,78,34,49,2980,67.7,3,28
Afghanistan,151,155,136,137,1760,64.1,2,24.5
Central African Republic,155,133,122,113,794,52.9,1,22.4
